SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
C[C@H]([C@](C)(C#C)O)O,7.76656362,0.78667001,190.32
C1[C@H]2C[C@H]2C(=O)[C@H]3[C@@H]1C3,5.8122696,-0.46884553,306.3
C[C@H](C1=CCCC1=O)O,4.94995301,-1.42993805,366.11
CC1(OCCOCCO1)C,8.7592209,2.29551996,156.77
C=C[C@H]1CCC[C@@H]1[C@H](CCO)O,7.02533598,0.46041012,190.2
C(=O)(O)OC(=O)OO,6.36819033,-1.48816959,263.57
CCCC/C(=C/CCC)/C,6.61417777,0.71265609,189.13
CC[C@@H](C)CCCCC[C@@H](C)O,8.73391467,1.84136837,169.4
CC[C@@H]1C[C@H]2C[C@@H]1C(=O)C2,5.85880041,-0.52680496,306.81
C[C@H]1CCC[C@]1(C)C=C(C)C,6.49145616,0.63537685,193.75
C=CO[C@@H](C1C=CC=C1)O,5.5102275,-0.21632745,244.25
C=CCOCOCCCCO,7.14397594,0.15836802,193.12
C[C@H](C[C@@]1(CO1)C)O,8.14398019,1.4585096,175.07
C/C(=C/O)/O,6.013631,1.02748736,254.16
C[C@@H](/C=C/OC)O,6.45608186,0.63837006,193.53
C[C@H](C=C)[C@@H]1[C@H](O1)CO,7.49880738,0.54204312,183.39
C=C[C@H]([C@@H](CCO)CO)O,6.81281807,-0.0299321,208.64
C[C@H](C#C)[C@@H](C)C(=O)O,6.72084489,-0.52462808,253.53
C(=CO)C(=O)C=O,3.88681924,-3.17497948,534.88
C[C@H]([C@](C)(CO)O)O,8.29146381,1.36354321,175.98
C(=CC=O)C=C,4.54750232,-2.2721185,398.46
C[C@@H]([C@]12CCCC[C@H]1O2)O,8.09554461,1.36408743,179.17
C1[C@H]2C[C@H]([C@@H]1[C@@H](C2)F)O,8.72711192,1.70504126,170.45
C[C@H](C(=O)C)OC(=O)C,5.72737128,-1.224495,319.13
CCO[C@H]1CCCC[C@@H]1OC(=O)C,6.41553747,-0.31374283,250.66
C[C@H]([C@](C)(OC)O)O,7.972823,1.27782856,178.62
C[C@H](C(C)C)C(=O)O,6.79295404,-0.35401511,252.53
C[C@@H](/C=C/C=C/C=O)O,4.44682162,-2.25388713,397.84
